ISSN,ISSN_L,TITLE,TITLE_SOURCE,year_flipped,title,issn_type,period,year_active_since_str,year_active_since
1727-5644,0260-3055,Annals of Glaciology,DOAJ,2016,Annals of Glaciology,issn_e,1.1980 -,1980 -,1980
0260-3055,0260-3055,Annals of Glaciology,DOAJ,2016,Annals of Glaciology,issn_print,1.1980 -,1980 -,1980
0260-3055,0260-3055,Annals of Glaciology,DOAJ,2016,Annals of Glaciology,issn_print,1.1980 -,1980 -,1980
0262-821X,0262-821X,Journal of Micropalaeontology,DOAJ,2018,Journal of Micropalaeontology,issn_print,1.1982 -,1982 -,1982
0262-821X,0262-821X,Journal of Micropalaeontology,DOAJ,2018,Journal of Micropalaeontology,issn_print,"Volume 1, issue 1 (Jul 1982)-",NA,NA
0263-6174,0263-6174,Adsorption Science & Technology,DOAJ,2017,Adsorption Science & Technology,issn_print,1.1984 -,1984 -,1984
0263-6174,0263-6174,Adsorption Science & Technology,DOAJ,2017,Adsorption Science & Technology,issn_print,1.1984 -,1984 -,1984
2048-4038,0263-6174,Adsorption Science & Technology,DOAJ,2017,Adsorption Science & Technology,issn_e,1.1984 -,1984 -,1984
2048-4038,0263-6174,Adsorption Science & Technology,DOAJ,2017,Adsorption Science & Technology,issn_e,1.1984 -,1984 -,1984
0270-5060,0270-5060,Journal of Freshwater Ecology,DOAJ,2017,Journal of Freshwater Ecology,issn_print,"1.1981-volume 31, number 4 (December 2016)",NA,NA
0270-5060,0270-5060,Journal of Freshwater Ecology,DOAJ,2017,Journal of Freshwater Ecology,issn_print,1.1981/82 -,NA,NA
2156-6941,0270-5060,Journal of Freshwater Ecology,DOAJ,2017,Journal of Freshwater Ecology,issn_e,"1.1981-volume 31, number 4 (December 2016)",NA,NA
2156-6941,0270-5060,Journal of Freshwater Ecology,DOAJ,2017,Journal of Freshwater Ecology,issn_e,1.1981/82 -,NA,NA
0276-4741,0276-4741,Mountain Research and Development,DOAJ,2009,Mountain Research and Development,issn_print,1.1981 -,1981 -,1981
0276-4741,0276-4741,Mountain Research and Development,DOAJ,2009,Mountain Research and Development,issn_print,1.1981 - 28.2008,1981 -,1981
1994-7151,0276-4741,Mountain Research and Development,DOAJ,2009,Mountain Research and Development,issn_e,1.1981 -,1981 -,1981
1875-8630,0278-0240,Disease Markers,DOAJ,1993,Disease Markers,issn_e,"1.1983 - 35.2013; 2014 - 2016,3",2014 -,2014
1875-8630,0278-0240,Disease Markers,DOAJ,1993,Disease Markers,issn_e,Nachgewiesen 14.1998 - 35.2013; 2014 -,2014 -,2014
0278-0240,0278-0240,Disease Markers,DOAJ,1993,Disease Markers,issn_print,"1.1983 - 35.2013; 2014 - 2016,3",2014 -,2014
0278-0240,0278-0240,Disease Markers,DOAJ,1993,Disease Markers,issn_print,Nachgewiesen 14.1998 - 35.2013; 2014 -,2014 -,2014
0280-6495,0280-6495,"Tellus: Series A, Dynamic Meteorology and Oceanography",DOAJ,2012,"Tellus: Series A, Dynamic Meteorology and Oceanography",issn_print,35.1983 - 63.2011,1983 -,1983
0280-6495,0280-6495,"Tellus: Series A, Dynamic Meteorology and Oceanography",DOAJ,2012,"Tellus: Series A, Dynamic Meteorology and Oceanography",issn_print,35.1983 -,1983 -,1983
1600-0870,0280-6495,"Tellus: Series A, Dynamic Meteorology and Oceanography",DOAJ,2012,"Tellus: Series A, Dynamic Meteorology and Oceanography",issn_e,35.1983 - 63.2011,1983 -,1983
1600-0870,0280-6495,"Tellus: Series A, Dynamic Meteorology and Oceanography",DOAJ,2012,"Tellus: Series A, Dynamic Meteorology and Oceanography",issn_e,35.1983 -,1983 -,1983
0280-6509,0280-6509,"Tellus: Series B, Chemical and Physical Meteorology",DOAJ,2012,"Tellus: Series B, Chemical and Physical Meteorology",issn_print,35.1983 -,1983 -,1983
0280-6509,0280-6509,"Tellus: Series B, Chemical and Physical Meteorology",DOAJ,2012,"Tellus: Series B, Chemical and Physical Meteorology",issn_print,35.1983 - 63.2011,1983 -,1983
1600-0889,0280-6509,"Tellus: Series B, Chemical and Physical Meteorology",DOAJ,2012,"Tellus: Series B, Chemical and Physical Meteorology",issn_e,35.1983 -,1983 -,1983
1502-7724,0281-3432,Scandinavian Journal of Primary Health Care,DOAJ,2014,Scandinavian Journal of Primary Health Care,issn_e,1.1983 -,1983 -,1983
1502-7724,0281-3432,Scandinavian Journal of Primary Health Care,DOAJ,2014,Scandinavian Journal of Primary Health Care,issn_e,1.1983 - 31.2013,1983 -,1983
0281-3432,0281-3432,Scandinavian Journal of Primary Health Care,DOAJ,2014,Scandinavian Journal of Primary Health Care,issn_print,1.1983 -,1983 -,1983
0281-3432,0281-3432,Scandinavian Journal of Primary Health Care,DOAJ,2014,Scandinavian Journal of Primary Health Care,issn_print,Nachgewiesen 1993 -,1993 -,1993
0281-3432,0281-3432,Scandinavian Journal of Primary Health Care,DOAJ,2014,Scandinavian Journal of Primary Health Care,issn_print,1.1983 - 31.2013,1983 -,1983
2261-4184,0290-7402,Cahiers Balkaniques,DOAJ,2004,Cahiers Balkaniques,issn_e,NA,NA,NA
0290-7402,0290-7402,Cahiers Balkaniques,DOAJ,2004,Cahiers Balkaniques,issn_print,1.1981 -,1981 -,1981
1473-2300,0300-0605,Journal of International Medical Research,DOAJ,2012,Journal of International Medical Research,issn_e,Nachgewiesen 28.2000 -,2000 -,2000
1473-2300,0300-0605,Journal of International Medical Research,DOAJ,2012,Journal of International Medical Research,issn_e,1.1973 -,1973 -,1973
2000-1967,0300-9734,Upsala Journal of Medical Sciences,DOAJ,2008,Upsala Journal of Medical Sciences,issn_e,77.1972 -,1972 -,1972
2000-1967,0300-9734,Upsala Journal of Medical Sciences,DOAJ,2008,Upsala Journal of Medical Sciences,issn_e,77.1972 -,1972 -,1972
0300-9734,0300-9734,Upsala Journal of Medical Sciences,DOAJ,2008,Upsala Journal of Medical Sciences,issn_print,77.1972 -,1972 -,1972
0300-9734,0300-9734,Upsala Journal of Medical Sciences,DOAJ,2008,Upsala Journal of Medical Sciences,issn_print,77.1972 -,1972 -,1972
2107-6952,0301-0422,Public Health Reviews,DOAJ,2015,Public Health Reviews,issn_e,1.1972 -,1972 -,1972
2107-6952,0301-0422,Public Health Reviews,DOAJ,2015,Public Health Reviews,issn_e,Nachgewiesen 32.2010 -,2010 -,2010
0301-4738,0301-4738,Indian Journal of Ophthalmology,DOAJ,2005,Indian Journal of Ophthalmology,issn_print,19.1971 -,1971 -,1971
0301-4738,0301-4738,Indian Journal of Ophthalmology,DOAJ,2005,Indian Journal of Ophthalmology,issn_print,1.1953 -,1953 -,1953
1998-3689,0301-4738,Indian Journal of Ophthalmology,DOAJ,2005,Indian Journal of Ophthalmology,issn_e,19.1971 -,1971 -,1971
1998-3689,0301-4738,Indian Journal of Ophthalmology,DOAJ,2005,Indian Journal of Ophthalmology,issn_e,1.1953 -,1953 -,1953
1688-0390,0303-3295,Revista Médica del Uruguay,DOAJ,2002,Revista Médica del Uruguay,issn_e,Nachgewiesen 12.1996 -,1996 -,1996
0303-3295,0303-3295,Revista Médica del Uruguay,DOAJ,2002,Revista Médica del Uruguay,issn_print,Nachgewiesen 12.1996 -,1996 -,1996
0303-464X,0303-464X,Acta Reumatológica Portuguesa,DOAJ,1973,Acta Reumatológica Portuguesa,issn_print,Nachgewiesen 2008 -,2008 -,2008
0303-464X,0303-464X,Acta Reumatológica Portuguesa,DOAJ,1973,Acta Reumatológica Portuguesa,issn_print,1.1973 -,1973 -,1973
0304-1042,0304-1042,Japanese Journal of Religious Studies,DOAJ,1974,Japanese Journal of Religious Studies,issn_print,1.1974 -,1974 -,1974
0304-1042,0304-1042,Japanese Journal of Religious Studies,DOAJ,1974,Japanese Journal of Religious Studies,issn_print,1.1974 -,1974 -,1974
0304-2758,0304-2758,Estudios de Economía,DOAJ,1973,Estudios de Economía,issn_print,0.1973; 1.1974 -,1974 -,1974
0304-2758,0304-2758,Estudios de Economía,DOAJ,1973,Estudios de Economía,issn_print,[1.]1973 - [11.]1984 = Nr. 1-23; 12.1985 -,1985 -,1985
0718-5286,0304-2758,Estudios de Economía,DOAJ,1973,Estudios de Economía,issn_e,0.1973; 1.1974 -,1974 -,1974
1362-4962,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_e,1.1974 -,1974 -,1974
1362-4962,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_e,"Volume 42, issue 1 (01 November 1999) [?]-volume 53, issue 1 (September/October 2009) ; damit Erscheinen eingestellt",NA,NA
1362-4962,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_e,1.1974 -,1974 -,1974
0305-1048,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_print,Nachgewiesen 4.1976 - 16.1989,1976 -,1976
0305-1048,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_print,Nachgewiesen 3.1975 - 5.1981; 7.1987,1975 -,1975
0305-1048,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_print,6.1979 - 43.2000,1979 -,1979
0305-1048,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_print,Nr. 1.1975 - 5.1978,1975 -,1975
0305-1048,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_print,1.1974 -,1974 -,1974
0305-1048,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_print,"Volume 42, issue 1 (01 November 1999) [?]-volume 53, issue 1 (September/October 2009) ; damit Erscheinen eingestellt",NA,NA
0305-1048,0305-1048,Nucleic Acids Research,DOAJ,2005,Nucleic Acids Research,issn_print,1.1974 -,1974 -,1974
0312-8008,0312-8008,Australian Prescriber,DOAJ,1994,Australian Prescriber,issn_print,"1.1976–volume 39, number 3 (June 2016)",NA,NA
0312-8008,0312-8008,Australian Prescriber,DOAJ,1994,Australian Prescriber,issn_print,Nachgewiesen 17.1994 -,1994 -,1994
1839-3942,0312-8008,Australian Prescriber,DOAJ,1994,Australian Prescriber,issn_e,NA,NA,NA
1837-6290,0313-7155,Issues in Educational Research,DOAJ,2008,Issues in Educational Research,issn_e,NA,NA,NA
0316-1218,0316-1218,Canadian Journal of Higher Education,DOAJ,1971,Canadian Journal of Higher Education,issn_print,5.1975 - 39.2009; damit Ersch. eingest.,1975 -,1975
0316-1218,0316-1218,Canadian Journal of Higher Education,DOAJ,1971,Canadian Journal of Higher Education,issn_print,"Vol 5, no 1 (1975)-",NA,NA
1804-8765,0322-788X,Statistika: Statistics and Economy Journal,DOAJ,2011,Statistika: Statistics and Economy Journal,issn_e,1964 - 1992; 30.1993 - 49.2012; 93.2013 -,2013 -,2013
1804-8765,0322-788X,Statistika: Statistics and Economy Journal,DOAJ,2011,Statistika: Statistics and Economy Journal,issn_e,1964 - 1992; 30.1993 - 49.2012; 93.2013 -,2013 -,2013
0322-788X,0322-788X,Statistika: Statistics and Economy Journal,DOAJ,2011,Statistika: Statistics and Economy Journal,issn_print,1964 - 1992; 30.1993 - 49.2012; 93.2013 -,2013 -,2013
0322-788X,0322-788X,Statistika: Statistics and Economy Journal,DOAJ,2011,Statistika: Statistics and Economy Journal,issn_print,1964 - 1992; 30.1993 - 49.2012; 93.2013 -,2013 -,2013
0324-5853,0324-5853,Periodica Polytechnica: Chemical Engineering,DOAJ,1999,Periodica Polytechnica: Chemical Engineering,issn_print,1.1957 -,1957 -,1957
1587-3765,0324-5853,Periodica Polytechnica: Chemical Engineering,DOAJ,1999,Periodica Polytechnica: Chemical Engineering,issn_e,Nachgewiesen 43.1999 -,1999 -,1999
2346-8971,0325-173X,Trabajos y Comunicaciones,DOAJ,2013,Trabajos y Comunicaciones,issn_e,NA,NA,NA
1852-1479,0325-2221,Relaciones de la Sociedad Argentina de Antropología,DOAJ,1937,Relaciones de la Sociedad Argentina de Antropología,issn_e,1.1937 - 4.1944; N.S. 1.1970 -,1970 -,1970
0325-2221,0325-2221,Relaciones de la Sociedad Argentina de Antropología,DOAJ,1937,Relaciones de la Sociedad Argentina de Antropología,issn_print,1.1937 - 4.1944; N.S. 1.1970 -,1970 -,1970
0325-2221,0325-2221,Relaciones de la Sociedad Argentina de Antropología,DOAJ,1937,Relaciones de la Sociedad Argentina de Antropología,issn_print,1.1937 - 4.1944; N.S. 1.1969 -,1969 -,1969
1851-7617,0325-7541,Revista Argentina de Microbiología,DOAJ,2013,Revista Argentina de Microbiología,issn_e,Nachgewiesen 36.2004 -,2004 -,2004
1851-7617,0325-7541,Revista Argentina de Microbiología,DOAJ,2013,Revista Argentina de Microbiología,issn_e,11.1979 -,1979 -,1979
0325-7541,0325-7541,Revista Argentina de Microbiología,DOAJ,2013,Revista Argentina de Microbiología,issn_print,Nachgewiesen 36.2004 -,2004 -,2004
0325-7541,0325-7541,Revista Argentina de Microbiología,DOAJ,2013,Revista Argentina de Microbiología,issn_print,11.1979 -,1979 -,1979
0326-1735,0326-1735,Boletín Geográfico,DOAJ,1992,Boletín Geográfico,issn_print,Nachgewiesen Nr. 24.2003 -,2003 -,2003
0326-1735,0326-1735,Boletín Geográfico,DOAJ,1992,Boletín Geográfico,issn_print,Nachgewiesen 25.2003=Nr. 23 -,NA,NA
2313-903X,0326-1735,Boletín Geográfico,DOAJ,1992,Boletín Geográfico,issn_e,Nachgewiesen Nr. 24.2003 -,2003 -,2003
0326-3428,0326-3428,"Revista de Nefrología, Diálisis y Trasplante",DOAJ,2013,"Revista de Nefrología, Diálisis y Trasplante",issn_print,"Nachgewiesen 26.1990 - 58.2003; 23.2003,2 -",1990 -,1990
0326-9671,0326-9671,Anuario IEHS,DOAJ,2016,Anuario IEHS,issn_print,1.1986 -,1986 -,1986
0327-5159,0327-5159,Arqueologia,DOAJ,2009,Arqueologia,issn_print,Nachgewiesen 11.2001 -,2001 -,2001
0327-5159,0327-5159,Arqueologia,DOAJ,2009,Arqueologia,issn_print,Nachgewiesen 15.2009 -,2009 -,2009
1853-8126,0327-5159,Arqueologia,DOAJ,2009,Arqueologia,issn_e,Nachgewiesen 11.2001 -,2001 -,2001
1853-8126,0327-5159,Arqueologia,DOAJ,2009,Arqueologia,issn_e,Nachgewiesen 15.2009 -,2009 -,2009
0328-1205,0328-1205,Synthesis (La Plata),DOAJ,2012,Synthesis (La Plata),issn_print,Nachgewiesen 12.2005 -,2005 -,2005
0328-1205,0328-1205,Synthesis (La Plata),DOAJ,2012,Synthesis (La Plata),issn_print,1.1994 -,1994 -,1994
0328-9206,0328-9206,Revista Argentina de Residentes de Cirugía,DOAJ,2008,Revista Argentina de Residentes de Cirugía,issn_print,NA,NA,NA
1852-4524,0328-9206,Revista Argentina de Residentes de Cirugía,DOAJ,2008,Revista Argentina de Residentes de Cirugía,issn_e,NA,NA,NA
0329-3807,0329-3807,Anclajes,DOAJ,2010,Anclajes,issn_print,1.1997=Nr. 1 -,NA,NA
0329-3807,0329-3807,Anclajes,DOAJ,2010,Anclajes,issn_print,"Vol. 6, Núm. 6 (2002) [?]-",NA,NA
1851-4669,0329-3807,Anclajes,DOAJ,2010,Anclajes,issn_e,NA,NA,NA
1890-1328,0332-7353,"Modeling, Identification and Control",DOAJ,1980,"Modeling, Identification and Control",issn_e,1.1980 -,1980 -,1980
0332-7353,0332-7353,"Modeling, Identification and Control",DOAJ,1980,"Modeling, Identification and Control",issn_print,1.1980 -,1980 -,1980
0332-7353,0332-7353,"Modeling, Identification and Control",DOAJ,1980,"Modeling, Identification and Control",issn_print,"1.1980 - 27.2006,2",1980 -,1980
0342-7536,0342-7536,Nota Lepidopterologica,DOAJ,2014,Nota Lepidopterologica,issn_print,1.1977/78 -,NA,NA
0342-7536,0342-7536,Nota Lepidopterologica,DOAJ,2014,Nota Lepidopterologica,issn_print,1.1989 - 5.1994[?],1989 -,1989
0342-7536,0342-7536,Nota Lepidopterologica,DOAJ,2014,Nota Lepidopterologica,issn_print,26.2003 -,2003 -,2003
2367-5365,0342-7536,Nota Lepidopterologica,DOAJ,2014,Nota Lepidopterologica,issn_e,NA,NA,NA
0350-1361,0350-1361,Zograf,DOAJ,2002,Zograf,issn_print,1.1966 -,1966 -,1966
0350-1361,0350-1361,Zograf,DOAJ,2002,Zograf,issn_print,Nachgewiesen 29.2002/03 -,NA,NA
1333-9095,0350-2465,Građevinar,DOAJ,2000,Građevinar,issn_e,NA,NA,NA
0350-2465,0350-2465,Građevinar,DOAJ,2000,Građevinar,issn_print,1.1949 -,1949 -,1949
0350-2465,0350-2465,Građevinar,DOAJ,2000,Građevinar,issn_print,nachgewiesen 58.2006 -,2006 -,2006
0350-6894,0350-6894,Slavisti�?na Revija,DOAJ,2012,Slavistična Revija,issn_print,1.1948 -,1948 -,1948
0350-6894,0350-6894,Slavisti�?na Revija,DOAJ,2012,Slavistična Revija,issn_print,Nachgewiesen 1997 -,1997 -,1997
0350-7653,0350-7653,Balcanica,DOAJ,1999,Balcanica,issn_print,1.1970 - 12.1981; 13/14.1982/83; 15.1984; 15a.1984; 16.1985 -,1985 -,1985
0350-7653,0350-7653,Balcanica,DOAJ,1999,Balcanica,issn_print,Nachgewiesen Nr. 32/33.2001/02(2003) -,NA,NA
0350-820X,0350-820X,Science of Sintering,DOAJ,2002,Science of Sintering,issn_print,6.1974 -,1974 -,1974
0350-820X,0350-820X,Science of Sintering,DOAJ,2002,Science of Sintering,issn_print,Nachgewiesen 34.2002 -,2002 -,2002
1854-2476,0351-0026,Slovenian Journal of Public Health,DOAJ,2010,Slovenian Journal of Public Health,issn_e,"Volume 49, issue 1 (Mar 2010) [?]-",NA,NA
0351-4706,0351-4706,Filozofska Istraživanja,DOAJ,2005,Filozofska Istraživanja,issn_print,1.1980 -,1980 -,1980
0351-4706,0351-4706,Filozofska Istraživanja,DOAJ,2005,Filozofska Istraživanja,issn_print,1.1980=Nr. 1 -,NA,NA
2217-2521,0351-6083,Acta Facultatis Medicae Naissensis,DOAJ,2012,Acta Facultatis Medicae Naissensis,issn_e,Nachgewiesen 20.2003 -,2003 -,2003
1846-6346,0352-3659,Geofizika,DOAJ,1984,Geofizika,issn_e,NA,NA,NA
0352-3659,0352-3659,Geofizika,DOAJ,1984,Geofizika,issn_print,1.1984 -,1984 -,1984
0352-3659,0352-3659,Geofizika,DOAJ,1984,Geofizika,issn_print,1.1984 -,1984 -,1984
0352-5139,0352-5139,Journal of the Serbian Chemical Society,DOAJ,1930,Journal of the Serbian Chemical Society,issn_print,50.1985 -,1985 -,1985
0352-5139,0352-5139,Journal of the Serbian Chemical Society,DOAJ,1930,Journal of the Serbian Chemical Society,issn_print,50.1985 -,1985 -,1985
1846-5153,0352-9568,Chemical and Biochemical Engineering Quarterly,DOAJ,2001,Chemical and Biochemical Engineering Quarterly,issn_e,Nachgewiesen 14.2000 -,2000 -,2000
0352-9568,0352-9568,Chemical and Biochemical Engineering Quarterly,DOAJ,2001,Chemical and Biochemical Engineering Quarterly,issn_print,Nachgewiesen 14.2000 -,2000 -,2000
0352-9568,0352-9568,Chemical and Biochemical Engineering Quarterly,DOAJ,2001,Chemical and Biochemical Engineering Quarterly,issn_print,1.1987 -,1987 -,1987
0353-295X,0353-295X,Radovi : Zavod za Hrvatsku Povijest,DOAJ,1971,Radovi : Zavod za Hrvatsku Povijest,issn_print,20.1987 -,1987 -,1987
0353-295X,0353-295X,Radovi : Zavod za Hrvatsku Povijest,DOAJ,1971,Radovi : Zavod za Hrvatsku Povijest,issn_print,Nachgewiesen 37.2005 -,2005 -,2005
1847-2206,0353-359X,Ekonomski Vjesnik,DOAJ,2008,Ekonomski Vjesnik,issn_e,"08, 1/2 [?]- = God 21, br 1/2 (prosinac 2008) [?]-",NA,NA
0353-359X,0353-359X,Ekonomski Vjesnik,DOAJ,2008,Ekonomski Vjesnik,issn_print,"08, 1/2 [?]- = God 21, br 1/2 (prosinac 2008) [?]-",NA,NA
0353-359X,0353-359X,Ekonomski Vjesnik,DOAJ,2008,Ekonomski Vjesnik,issn_print,1.1988 -,1988 -,1988
0353-4529,0353-4529,Rudarsko-geološko-naftni Zbornik,DOAJ,1989,Rudarsko-geološko-naftni Zbornik,issn_print,Nachgewiesen 12.2000 -,2000 -,2000
0353-4529,0353-4529,Rudarsko-geološko-naftni Zbornik,DOAJ,1989,Rudarsko-geološko-naftni Zbornik,issn_print,1.1989 -,1989 -,1989
1849-0409,0353-4529,Rudarsko-geološko-naftni Zbornik,DOAJ,1989,Rudarsko-geološko-naftni Zbornik,issn_e,NA,NA,NA
1848-9680,0353-4642,Fluminensia: Journal for Philological Research,DOAJ,1999,Fluminensia: Journal for Philological Research,issn_e,NA,NA,NA
0353-4642,0353-4642,Fluminensia: Journal for Philological Research,DOAJ,1999,Fluminensia: Journal for Philological Research,issn_print,1989 -,1989 -,1989
0353-4642,0353-4642,Fluminensia: Journal for Philological Research,DOAJ,1999,Fluminensia: Journal for Philological Research,issn_print,Nachgewiesen 11.1999 -,1999 -,1999
1848-4069,0353-5320,Promet (Zagreb),DOAJ,2013,Promet (Zagreb),issn_e,"Vol 18, no 1 (2006)-",NA,NA
1848-4069,0353-5320,Promet (Zagreb),DOAJ,2013,Promet (Zagreb),issn_e,"Vol 2, no 1/2 (1990) [?]-Vol 17, no 6 (2005)",NA,NA
0353-5320,0353-5320,Promet (Zagreb),DOAJ,2013,Promet (Zagreb),issn_print,Nachgewiesen 3.1995 -,1995 -,1995
0353-5320,0353-5320,Promet (Zagreb),DOAJ,2013,Promet (Zagreb),issn_print,"Vol 18, no 1 (2006)-",NA,NA
0353-5320,0353-5320,Promet (Zagreb),DOAJ,2013,Promet (Zagreb),issn_print,"Vol 2, no 1/2 (1990) [?]-Vol 17, no 6 (2005)",NA,NA
0353-5320,0353-5320,Promet (Zagreb),DOAJ,2013,Promet (Zagreb),issn_print,18.2006 -,2006 -,2006
0353-5320,0353-5320,Promet (Zagreb),DOAJ,2013,Promet (Zagreb),issn_print,Nachgewiesen 7.1995 - 17.2005,1995 -,1995
0353-9466,0353-9466,Acta Clinica Croatica,DOAJ,2001,Acta Clinica Croatica,issn_print,Nachgewiesen 39.2000 -,2000 -,2000
0353-9466,0353-9466,Acta Clinica Croatica,DOAJ,2001,Acta Clinica Croatica,issn_print,30.1991 -,1991 -,1991
1333-9451,0353-9466,Acta Clinica Croatica,DOAJ,2001,Acta Clinica Croatica,issn_e,Nachgewiesen 39.2000 -,2000 -,2000
1333-9451,0353-9466,Acta Clinica Croatica,DOAJ,2001,Acta Clinica Croatica,issn_e,30.1991 -,1991 -,1991
1332-8166,0353-9504,Croatian Medical Journal,DOAJ,2001,Croatian Medical Journal,issn_e,Nachgewiesen 32.1992 -,1992 -,1992
1332-8166,0353-9504,Croatian Medical Journal,DOAJ,2001,Croatian Medical Journal,issn_e,Nachgewiesen 33.1992 -,1992 -,1992
0353-9504,0353-9504,Croatian Medical Journal,DOAJ,2001,Croatian Medical Journal,issn_print,Nachgewiesen 32.1992 -,1992 -,1992
0353-9504,0353-9504,Croatian Medical Journal,DOAJ,2001,Croatian Medical Journal,issn_print,Nachgewiesen 33.1992 -,1992 -,1992
2335-0164,0354-2025,Facta Universitatis. Series: Mechanical Engineering,DOAJ,1997,Facta Universitatis. Series: Mechanical Engineering,issn_e,1.1997 -,1997 -,1997
0354-2025,0354-2025,Facta Universitatis. Series: Mechanical Engineering,DOAJ,1997,Facta Universitatis. Series: Mechanical Engineering,issn_print,1.1997 -,1997 -,1997
0354-2025,0354-2025,Facta Universitatis. Series: Mechanical Engineering,DOAJ,1997,Facta Universitatis. Series: Mechanical Engineering,issn_print,1.1994/2001 -,2001 -,2001
0354-4664,0354-4664,Archives of Biological Sciences,DOAJ,2002,Archives of Biological Sciences,issn_print,Nachgewiesen 54.2002 -,2002 -,2002
1821-4339,0354-4664,Archives of Biological Sciences,DOAJ,2002,Archives of Biological Sciences,issn_e,NA,NA,NA
1820-7138,0354-8724,Geographica Pannonica,DOAJ,2010,Geographica Pannonica,issn_e,NA,NA,NA
0354-8724,0354-8724,Geographica Pannonica,DOAJ,2010,Geographica Pannonica,issn_print,1.1997 -,1997 -,1997
0354-9836,0354-9836,Thermal Science,DOAJ,2001,Thermal Science,issn_print,1.1997 -,1997 -,1997
0354-9836,0354-9836,Thermal Science,DOAJ,2001,Thermal Science,issn_print,Nachgewiesen 5.2001 -,2001 -,2001
0365-0359,0365-0359,"Atti della Accademia Peloritana dei Pericolanti : Classe di Scienze Fisiche, Matematiche e Naturali",DOAJ,2004,"Atti della Accademia Peloritana dei Pericolanti : Classe di Scienze Fisiche, Matematiche e Naturali",issn_print,NA,NA,NA
1825-1242,0365-0359,"Atti della Accademia Peloritana dei Pericolanti : Classe di Scienze Fisiche, Matematiche e Naturali",DOAJ,2004,"Atti della Accademia Peloritana dei Pericolanti : Classe di Scienze Fisiche, Matematiche e Naturali",issn_e,Nachgewiesen 84.2006 -,2006 -,2006
0365-0588,0365-0588,Acta Botanica Croatica,DOAJ,2011,Acta Botanica Croatica,issn_print,Nachgewiesen 61.2002 -,2002 -,2002
0365-0588,0365-0588,Acta Botanica Croatica,DOAJ,2011,Acta Botanica Croatica,issn_print,16.1957 -,1957 -,1957
0365-0596,0365-0596,Anais Brasileiros de Dermatologia,DOAJ,2002,Anais Brasileiros de Dermatologia,issn_print,36.1961 -,1961 -,1961
0365-0596,0365-0596,Anais Brasileiros de Dermatologia,DOAJ,2002,Anais Brasileiros de Dermatologia,issn_print,"Nachgewiesen 77.2002,5 -",NA,NA
2239-3129,0365-0812,Annali di Botanica,DOAJ,1995,Annali di Botanica,issn_e,NA,NA,NA
0365-0812,0365-0812,Annali di Botanica,DOAJ,1995,Annali di Botanica,issn_print,"1.1903/04 - 22.1940/43; 23.1949/51 - 56.1998(1999),1; N.S. 1.2001 - 8.2008; [3.Ser.] 0.2010; 1.2011 - 2.2012",2011 -,2011
0366-3175,0366-3175,Boletín de la Sociedad Española de Cerámica y Vidrio,DOAJ,2015,Boletín de la Sociedad Española de Cerámica y Vidrio,issn_print,"11.1972 - 16.1977,1; 22.1983,4 -",1972 -,1972
0366-3175,0366-3175,Boletín de la Sociedad Española de Cerámica y Vidrio,DOAJ,2015,Boletín de la Sociedad Española de Cerámica y Vidrio,issn_print,Nachgewiesen 39.2000 -,2000 -,2000
0366-5232,0366-5232,Caldasia,DOAJ,2001,Caldasia,issn_print,1.1940/42 - 16.1989/91 = Nr. 1-78; 17.1992 -,1992 -,1992
0366-5232,0366-5232,Caldasia,DOAJ,2001,Caldasia,issn_print,1.1940/42 - 16.1989/91 = Nr. 1-78; 17.1992 -,1992 -,1992
0366-6999,0366-6999,Chinese Medical Journal,DOAJ,2000,Chinese Medical Journal,issn_print,"46.1932 - 85.1966,9(Sept.); 1973 - 1974; N.S. 1.1975 - 4.1978; 92.1979 -",1979 -,1979
0366-6999,0366-6999,Chinese Medical Journal,DOAJ,2000,Chinese Medical Journal,issn_print,Nachgewiesen 113.2000 -,2000 -,2000
1988-3250,0367-0449,Estudios Geologicos,DOAJ,1984,Estudios Geologicos,issn_e,Nachgewiesen 40.1984 -,1984 -,1984
0367-0449,0367-0449,Estudios Geologicos,DOAJ,1984,Estudios Geologicos,issn_print,Nachgewiesen 40.1984 -,1984 -,1984
0367-0449,0367-0449,Estudios Geologicos,DOAJ,1984,Estudios Geologicos,issn_print,[1.]1945 - [4.]1947/48 = 1-8; 5.1948/49 - 15.1959 = 9-44; 16.1960 - 69.2013,1960 -,1960
0367-5211,0367-5211,Bulletin of the Geological Society of Finland,DOAJ,1968,Bulletin of the Geological Society of Finland,issn_print,Nachgewiesen 72.2000 -,2000 -,2000
